ds,yhat,yhat_lower,yhat_upper
2015-01-02 23:10:00,27225.843942237814,21840.981055461478,32199.205131705992
2015-01-02 23:20:00,26827.351918068616,21513.73994735009,32296.32108869546
2015-01-02 23:30:00,26424.948470215375,21247.95896027371,31722.58879995463
2015-01-02 23:40:00,26022.114035872724,20902.563411256873,31264.79886859091
2015-01-02 23:50:00,25622.111201059353,20613.817973783287,30604.46163039528
2015-01-03 00:00:00,25227.93075961052,20093.266023241405,30220.283078502616
2015-01-03 00:10:00,24842.24770061163,19628.88221211986,30279.283069540666
2015-01-03 00:20:00,24467.388067924287,18878.188763535363,29443.154167646262
2015-01-03 00:30:00,24105.30729825042,19054.935873915652,29251.02586563836
2015-01-03 00:40:00,23757.580294620922,18800.058030472363,28812.97180304464
2015-01-03 00:50:00,23425.403141882576,18162.021269963323,28751.41540874899
2015-01-03 01:00:00,23109.606019051585,17947.08846729042,28475.0554812301
2015-01-03 01:10:00,22810.67654356404,17134.55558235502,28378.278744547355
2015-01-03 01:20:00,22528.79247149187,17725.06941511774,27549.55709163582
2015-01-03 01:30:00,22263.862421241316,16928.217500995037,26995.37140544816
2015-01-03 01:40:00,22015.573056052537,16984.687846930192,26910.281842786793
2015-01-03 01:50:00,21783.44099783815,16548.777278852787,26734.64564407526
2015-01-03 02:00:00,21566.867619321507,15846.474823463983,26465.117042844122
2015-01-03 02:10:00,21365.194806952517,16400.42265924497,26672.3338436041
2015-01-03 02:20:00,21177.75978473519,16049.553754925508,26613.102040905822
2015-01-03 02:30:00,21003.947145585316,15445.726248069617,26455.486969369158
2015-01-03 02:40:00,20843.236356970814,15569.946591162527,25802.675030093476
2015-01-03 02:50:00,20695.24316934462,15117.065328187256,26093.435392925163
2015-01-03 03:00:00,20559.753578059786,15478.432192783921,25701.714467795686
2015-01-03 03:10:00,20436.74923797279,15014.69337590346,25516.305393342765
2015-01-03 03:20:00,20326.42352490638,14703.009727523699,25307.18386178471
2015-01-03 03:30:00,20229.18774409802,15427.57744224149,25672.995623011535
2015-01-03 03:40:00,20145.667314067232,14605.141218248982,25324.053602427175
2015-01-03 03:50:00,20076.68808159671,14492.85870965899,25408.789733231526
2015-01-03 04:00:00,20023.2532442394,15222.350456941467,25160.258821322026
2015-01-03 04:10:00,19986.51166394354,14982.267584740066,25225.09275416257
2015-01-03 04:20:00,19967.71863230282,14805.901442696484,25453.167259780053
2015-01-03 04:30:00,19968.19039450035,14714.008679532888,25190.091874071142
2015-01-03 04:40:00,19989.25393970736,14354.579506081387,25247.30676337802
2015-01-03 04:50:00,20032.193722075306,14943.081456963018,25208.73830071481
2015-01-03 05:00:00,20098.197077169465,14744.961532231657,24976.178647975812
2015-01-03 05:10:00,20188.300145492773,15376.239464198408,25534.170924642283
2015-01-03 05:20:00,20303.336103441405,14874.701810733402,25401.63092528214
2015-01-03 05:30:00,20443.887436042234,14937.37066892145,25674.317409646843
2015-01-03 05:40:00,20610.243862579173,15637.379686264992,25678.137454859978
2015-01-03 05:50:00,20802.36735706409,15164.134250994588,25884.67728335321
2015-01-03 06:00:00,21019.865485259757,15910.535394602586,26064.65415927691
2015-01-03 06:10:00,21261.97403023343,16018.686638831101,26490.191274008623
2015-01-03 06:20:00,21527.5495879171,16626.510223878635,26629.892936031094
2015-01-03 06:30:00,21815.0725138489,16746.898809430753,27052.439863352076
2015-01-03 06:40:00,22122.66028005632,16905.909736175836,27207.774010892703
2015-01-03 06:50:00,22448.09098261767,17167.328730589703,27507.901441237285
2015-01-03 07:00:00,22788.836431965643,17470.16557615544,28175.638949067496
2015-01-03 07:10:00,23142.103959428936,18199.303895139175,28063.038921941195
2015-01-03 07:20:00,23504.88580924708,18163.280856206715,28798.35988273601
2015-01-03 07:30:00,23874.01475103047,18512.439735047705,29217.162225816835
2015-01-03 07:40:00,24246.224362181667,19115.0296076189,29322.14425980108
2015-01-03 07:50:00,24618.212279659572,19584.559500538326,29723.36808990696
2015-01-03 08:00:00,24986.704639089137,19858.175881029718,29831.931176274138
2015-01-03 08:10:00,25348.519877536168,20253.636657743475,30269.160256707168
2015-01-03 08:20:00,25700.630099616916,20356.792217366765,31014.980071138703
2015-01-03 08:30:00,26040.218285238607,20878.681260673402,31245.80799221838
2015-01-03 08:40:00,26364.72974160406,21158.764196747703,32119.31151821238
2015-01-03 08:50:00,26671.91638290611,21187.962641253715,31933.671612473852
2015-01-03 09:00:00,26959.872639644153,21694.472834674685,32796.48565922137
2015-01-03 09:10:00,27227.06206131005,22280.279930585024,32504.71202034147
2015-01-03 09:20:00,27472.333954136884,22287.04551712976,33045.48505188868
2015-01-03 09:30:00,27694.929707786843,22226.615612070967,33075.95577116824
2015-01-03 09:40:00,27894.4787741409,22458.931891889657,33458.07009337948
2015-01-03 09:50:00,28070.984577956908,22736.672778654756,33226.98400289093
2015-01-03 10:00:00,28224.800945842035,22487.321033390486,33263.98117302619
2015-01-03 10:10:00,28356.5999224757,23704.522021052184,33661.309887582895
2015-01-03 10:20:00,28467.332103391847,23210.899113778632,33780.53186697673
2015-01-03 10:30:00,28558.180834119445,23430.516118718486,33534.74581355898
2015-01-03 10:40:00,28630.511805625545,22903.9626912087,33455.678300179425
2015-01-03 10:50:00,28685.81970473026,23478.666325371476,34133.353089066935
2015-01-03 11:00:00,28725.6736575733,23538.81959892028,34196.489925521884
2015-01-03 11:10:00,28751.663226020308,23388.119929818145,33822.247300605755
2015-01-03 11:20:00,28765.346684867123,23709.432812503626,34128.65370003272
2015-01-03 11:30:00,28768.203220498188,23640.766544167378,33956.60097781376
2015-01-03 11:40:00,28761.590551426914,23723.74805067505,34295.32742715746
2015-01-03 11:50:00,28746.709286055666,23714.019916287085,34355.77108482462
2015-01-03 12:00:00,28724.5751029936,23436.510802390792,33782.857158129715
2015-01-03 12:10:00,28695.99957725761,23444.12683424072,34023.96117962838
2015-01-03 12:20:00,28661.580186345378,23319.731628280937,33989.10461652111
2015-01-03 12:30:00,28621.69972293955,23392.811765714498,33502.54338023783
2015-01-03 12:40:00,28576.53502755894,22933.0447884778,33710.60205498173
2015-01-03 12:50:00,28526.07464254148,23324.580647080453,34054.63914000225
2015-01-03 13:00:00,28470.144688321394,23093.13411158129,33800.53871515802
2015-01-03 13:10:00,28408.44198530258,23327.654251148153,33849.69707214927
2015-01-03 13:20:00,28340.573196846537,22922.491014115858,33521.86616434206
2015-01-03 13:30:00,28266.098559646867,23242.47647054019,33888.08433518944
2015-01-03 13:40:00,28184.578602742764,22877.146602270775,33252.032965468185
2015-01-03 13:50:00,28095.62214411888,23005.345786413036,33373.47953210415
2015-01-03 14:00:00,27998.93379346573,23187.195356273445,33071.040742536316
2015-01-03 14:10:00,27894.359187001435,22301.830879450383,33186.97471400607
2015-01-03 14:20:00,27781.926235837032,22024.20872842776,32831.98535824807
2015-01-03 14:30:00,27661.880777106875,22614.631765523165,32426.8074706795
